t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
12.040000000000001,-7.255084914345162,-3.087667977996162,12.97628462541183,0.9337164124553551,0.12293029941459954,0.043527159372259476,0.3334174395473637,-3.80492121262499,1.1318155619610692,-0.8081812003510436,0.29072245113914374,0.18359015540731843,0.0001674945491817667,1.9576823589062542,-2.404723533615538,1.7734619734888213,-1.5979502129931156,0.4977365144647028,0.0011662262207732046,2.475927989952108,2.5465808055726566,2.320331738879849,2.2502171815150396,4.540678656184127,-2.0758330645520573,3.2644678249482695,-7.2865620204254355,20.84118650991229,-13.078664551358088
12.06,-7.330786162954485,-3.0655151014128044,12.960479708651956,0.9332908015822292,0.12486522814927908,0.0462042669723132,0.33352978906655345,-3.7648686495118433,1.0833322670192214,-0.772075570620423,0.2585279899311411,0.19392644002416323,0.0001915184881678255,2.0470107211423283,-2.4419992424462578,1.8360968537933786,-1.622063203778884,0.5362725005184532,0.0012374496595489448,2.4914658088324804,2.567584756294599,2.337910065267189,2.2623622484171695,4.390483629101993,-1.6473748929435317,2.996695577905939,-7.732942020055589,22.00463060653135,-13.698565304309795
12.08,-7.4056686846047715,-3.044338804480119,12.945409093647946,0.9328908870801763,0.12646026949171255,0.04887276961045244,0.33366726754874987,-3.723060116134924,1.0341906038399795,-0.7347715726091053,0.2258190056531682,0.20505475443533147,0.0002170387129896579,2.1332459064726805,-2.470473098985515,1.8932523089532083,-1.6495229958756545,0.5770014002549506,0.0013153953716758468,2.5056674364374194,2.5875643785223366,2.3539893404548953,2.2726995039261357,4.231360952289265,-1.1956478296326623,2.716525321133645,-8.179324328949633,23.16807563573775,-14.318463747997612
12.1,-7.479697989685712,-3.024150465106272,12.93109563638288,0.9325182583746304,0.12770784339181093,0.0515383677044256,0.3338325945567961,-3.6795592615119332,0.9845712630064174,-0.6963812743064679,0.19255765282899773,0.2169998050600685,0.0002394135715882359,2.2162095306210716,-2.4896805011787038,1.9446807453071813,-1.6677351449483069,0.6118510826426615,0.0005118920338203353,2.5182280829156,2.604868502115093,2.3689043543620585,2.282500193024328,4.063437265777736,-0.7212337909123789,2.424231938746857,-8.578428989380882,24.11427129089816,-14.835737083274125
12.120000000000001,-7.552840896738694,-3.004957756790183,12.917559903058565,0.9321738589702644,0.1286041609664095,0.054205882606410294,0.33402782627420674,-3.6344331538587404,0.9346635448425733,-0.6570213732686625,0.15974881397057372,0.22911578542169675,0.00024198722918053125,2.2957529279565847,-2.499293403928071,1.990199076828958,-1.604902643438491,0.5940444917337251,5.339498171802459e-05,2.5271718099798948,2.611189242635226,2.3842172530900108,2.3002244642723966,3.890638468284635,-0.2421722542500504,2.1283370443825333,-8.666839246274094,23.63282618489393,-14.678615301022546
12.14,-7.6250655892888854,-2.9867645295074037,12.90482010257883,0.9318570029486843,0.1291605026772925,0.056876493684929565,0.3342531302317946,-3.5877508114365853,0.8846586086712627,-0.6168100076559213,0.1283480338553974,0.240753096386712,0.00024300402887754077,2.371829759200139,-2.4994539524092474,2.029846328959195,-1.5365805745126402,0.5700786606511937,4.859410517449314e-05,2.534544576402853,2.6151726769750523,2.397864427846419,2.317258755322762,3.716890430993658,0.22349729977833022,1.8373622285849933,-8.707966614451834,22.934130683438525,-14.418867166909877
12.16,-7.696341637015063,-2.969570854464281,12.892892096442006,0.9315664010024493,0.12939130393246728,0.05955019723491515,0.3345081538606833,-3.5395817334069157,0.8347427220725123,-0.5758635672757251,0.09824101992571599,0.25193109992041945,0.00024394041030214447,2.444423404002194,-2.4904408487680385,2.0637260348621567,-1.475393221379899,0.5480607408375721,4.5301279394741045e-05,2.5407441923986176,2.6182587506532937,2.409604877376759,2.33211122740488,3.5423198223583086,0.6751929544357438,1.5515824305367687,-8.749095403715046,22.235435004347437,-14.159115657719212
12.18,-7.766640002870594,-2.953373133406316,12.88178943912797,0.9313006251384456,0.12930952267531437,0.062226860676275114,0.3347924891221401,-3.4899957480147847,0.7850965633083185,-0.5342963640508458,0.06929191961713194,0.26268601158006216,0.00024482387271565834,2.5135174107226987,-2.4725335710407137,2.0919420944665035,-1.4206703585219742,0.5277212645240503,4.327159087505472e-05,2.545771755902649,2.620410399482058,2.4194963799249165,2.3448777078489886,3.3669266139568776,1.1129147106103687,1.2709975987235111,-8.7902270351492,21.53673976934556,-13.899366102521071
12.200000000000001,-7.835933049664106,-2.938164210409369,12.871523419658061,0.9310581358244893,0.12892676094341043,0.06490622256331308,0.33510568526992973,-3.439063012540977,0.7358952210805736,-0.4922206319131206,0.041377578947536076,0.2730489104383704,0.00024567708618869477,2.57909532760614,-2.4460115972813057,2.114598407505497,-1.3718107194501998,0.5088153854214295,4.225302926361141e-05,2.549634205994841,2.621599880952556,2.4275962846156887,2.355650111056095,3.190710822664755,1.5366625647494914,0.9956077757777848,-8.831357600769252,20.838045644566705,-13.639617968408402
12.22,-7.904194546640152,-2.9239334836708784,12.862103103154974,0.9308373010743186,0.12825339860308155,0.06758788632228366,0.33544725710299617,-3.386854013298901,0.6873081945307113,-0.4497465267943923,0.014386240460060571,0.28304618860240366,0.0002465185211566537,2.6411407028703593,-2.4111544054061795,2.131798873676871,-1.328274295259384,0.4911190017279077,4.206650440971571e-05,2.5523437183382702,2.6218076397441434,2.433961447633173,2.3645169415370275,3.01367245469919,1.946436515520844,0.7254129119615982,-8.872484347222098,20.139349876657775,-13.379868946117313
12.24,-7.971399676059893,-2.9106670173010514,12.853535372402668,0.9306364111486747,0.12729871378789184,0.07027131381405469,0.33581669131701875,-3.3334395656355653,0.6394993932394843,-0.4069821266361018,-0.011783616438320368,0.2926999415885113,0.0002473635866394319,2.6996370850174145,-2.368241473518218,2.143647392749415,-1.289576094207925,0.47442583701816643,4.25789641676777e-05,2.553917184774416,2.621021368214644,2.438648181459661,2.371563649849049,2.8358115189419664,2.342236565144873,0.4604130587892996,-8.913612781213942,19.4406548637005,-13.120118680376436
12.26,-8.037525039781755,-2.898347653114083,12.845824969406275,0.9304536897471399,0.12607099155724688,0.07295581861893644,0.33621345132719876,-3.278890813929358,0.5926271372272751,-0.364033431380939,-0.03722429605790273,0.30202830086410837,0.0002482252184789757,2.7545680223717284,-2.317552279635926,2.1502478644563894,-1.255278697867598,0.4585453442995713,4.369122707653661e-05,2.5543755788329383,2.6192350726455587,2.441712376652748,2.3768730480218547,2.6571279816423043,2.724062718506559,0.20060819139189334,-8.95474228101989,18.741960516877043,-12.860366815914404
12.280000000000001,-8.102548665842091,-2.886955122419364,12.838974536951996,0.9302873023876949,0.1245776222323477,0.07564055901156028,0.3366369808674894,-3.223279231594489,0.5468441569545401,-0.3210043629779946,-0.0620197856146244,0.31104572461836555,0.000249114368413933,2.8059170630889696,-2.2593663017111965,2.151704188744219,-1.2249865501037251,0.4433003421304871,4.529950567017105e-05,2.553743492374371,2.6164482666737485,2.4432095118229835,2.380525644987761,2.4776218605637723,3.0919149667241186,-0.054001688454263785,-8.995868050476474,18.04326466015027,-12.60061939234447
